id,fund_code,stock_code,stock_name,proportion_of_nav,shares_held,market_value,quarter,report_date,created_at
5513,005550,688608,恒玄科技,9.45,6.66,2704.58,2025年1季度股票投资明细,2025-03-31,2026-01-29 08:19:48
5514,005550,002851,麦格米特,8.69,40.89,2487.75,2025年1季度股票投资明细,2025-03-31,2026-01-29 08:19:49
5515,005550,300442,润泽科技,8.16,40.88,2335.88,2025年1季度股票投资明细,2025-03-31,2026-01-29 08:19:49
5516,005550,300476,胜宏科技,8.10,28.61,2317.70,2025年1季度股票投资明细,2025-03-31,2026-01-29 08:19:50
5517,005550,002371,北方华创,6.13,4.22,1755.52,2025年1季度股票投资明细,2025-03-31,2026-01-29 08:19:51
5518,005550,300679,电连技术,5.98,30.11,1712.36,2025年1季度股票投资明细,2025-03-31,2026-01-29 08:19:52
5519,005550,002463,沪电股份,5.46,47.64,1562.59,2025年1季度股票投资明细,2025-03-31,2026-01-29 08:19:52
5520,005550,688279,峰岹科技,5.25,6.43,1504.36,2025年1季度股票投资明细,2025-03-31,2026-01-29 08:19:53
5521,005550,300570,太辰光,4.20,14.39,1201.57,2025年1季度股票投资明细,2025-03-31,2026-01-29 08:19:54
5522,005550,688220,翱捷科技,3.57,10.07,1022.57,2025年1季度股票投资明细,2025-03-31,2026-01-29 08:19:54
5523,005550,300476,胜宏科技,9.75,16.60,2230.71,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:19:55
5524,005550,300308,中际旭创,9.51,14.92,2176.23,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:19:55
5525,005550,300502,新易盛,9.20,16.57,2104.72,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:19:56
5526,005550,688213,思特威,8.60,19.24,1966.55,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:19:57
5527,005550,688608,恒玄科技,7.65,5.03,1749.37,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:19:57
5528,005550,300548,长芯博创,5.60,19.17,1279.98,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:19:58
5529,005550,688313,仕佳光子,5.49,32.99,1255.17,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:19:59
5530,005550,300394,天孚通信,4.28,12.25,978.20,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:19:59
5531,005550,688018,乐鑫科技,4.25,6.65,971.55,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:20:00
5532,005550,603893,瑞芯微,4.22,6.35,964.31,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:20:01
5533,005550,688183,生益电子,3.94,17.58,900.23,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:20:01
5534,005550,300170,汉得信息,3.14,41.71,717.83,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:20:02
5535,005550,002463,沪电股份,2.99,16.09,685.11,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:20:03
5536,005550,688141,杰华特,2.58,18.09,589.31,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:20:03
5537,005550,688629,华丰科技,2.29,9.15,523.39,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:20:04
5538,005550,002851,麦格米特,2.09,9.52,477.33,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:20:05
5539,005550,300378,鼎捷数智,2.06,12.90,472.14,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:20:06
5540,005550,300570,太辰光,1.94,4.61,444.31,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:20:07
5541,005550,688498,源杰科技,1.67,1.96,381.97,2025年2季度股票投资明细,2025-06-30,2026-01-29 08:20:07
