id,rank,fund_code,fund_name,date,net_value,accumulated_net_value,daily_growth_rate,weekly_growth_rate,monthly_1_growth_rate,monthly_3_growth_rate,monthly_6_growth_rate,yearly_1_growth_rate,yearly_2_growth_rate,yearly_3_growth_rate,ytd_growth_rate,since_inception_growth_rate,custom_growth_rate,fee_rate,is_checked,update_time
57193,1,022364,永赢科技智选混合发起A,2026-01-29,3.8187,3.8187,-2.27,-1.95,-1.12,1.52,75.65,228.77,,,1.04,281.87,226.106,0.15,0,2026-01-30 11:46:42
57194,2,022365,永赢科技智选混合发起C,2026-01-29,3.7895,3.7895,-2.27,-1.96,-1.17,1.38,75.12,226.71,,,0.99,278.95,224.111,0.0,0,2026-01-30 11:46:42
57195,3,001302,前海开源金银珠宝混合A,2026-01-29,4.057,4.057,2.5,25.18,58.35,67.23,121.09,174.12,222.24,199.41,58.72,305.7,162.08,0.15,0,2026-01-30 11:46:42
57196,4,002207,前海开源金银珠宝混合C,2026-01-29,3.965,3.965,2.51,25.24,58.35,67.23,121.01,173.83,221.57,198.34,58.73,296.5,161.889,0.0,0,2026-01-30 11:46:42
57197,5,001466,华富永鑫灵活配置混合A,2026-01-29,2.82,2.82,2.04,21.55,54.53,65.71,118.54,172.83,218.9,163.7,55.17,182.0,162.619,0.15,0,2026-01-30 11:46:42
57198,6,001467,华富永鑫灵活配置混合C,2026-01-29,2.7391,2.7391,2.05,21.54,54.52,65.66,118.45,172.57,218.31,162.95,55.15,173.91,162.391,0.0,0,2026-01-30 11:46:42
57199,7,011815,恒越优势精选混合A,2026-01-29,1.562,1.562,-2.74,-0.86,3.42,9.51,84.55,166.55,206.33,114.91,5.81,56.2,175.242,0.15,0,2026-01-30 11:46:42
57200,8,018999,万家趋势领先混合A,2026-01-29,2.7009,2.7009,0.86,15.31,38.13,50.89,106.29,159.7,,,35.62,170.09,152.02,0.15,0,2026-01-30 11:46:42
57201,9,019000,万家趋势领先混合C,2026-01-29,2.6815,2.6815,0.86,15.3,37.97,50.58,105.97,158.58,,,35.46,168.15,151.006,0.0,0,2026-01-30 11:46:42
57202,10,021958,南方黄金股A,2026-01-29,2.5935,2.5935,2.52,20.59,48.2,55.0,104.16,158.03,,,47.84,159.35,148.277,0.12,0,2026-01-30 11:46:42
57203,11,021959,南方黄金股C,2026-01-29,2.5869,2.5869,2.52,20.59,48.2,54.99,103.81,157.43,,,47.84,158.69,147.716,0.0,0,2026-01-30 11:46:42
57204,12,021362,易方达中证沪深港黄金产业股票指数发起式A,2026-01-29,2.5339,2.5339,2.33,19.89,47.53,54.07,102.42,156.29,,,46.92,153.39,146.921,0.12,0,2026-01-30 11:46:42
57205,13,021363,易方达中证沪深港黄金产业股票指数发起式C,2026-01-29,2.5256,2.5256,2.34,19.88,47.5,53.95,102.31,155.65,,,46.89,152.56,146.4,0.0,0,2026-01-30 11:46:42
57206,14,018956,中航机遇领航混合发起A,2026-01-29,3.5368,3.5368,-2.05,-0.99,-4.89,6.74,69.86,154.74,338.48,,-1.98,253.68,175.602,0.15,0,2026-01-30 11:46:42
57207,15,020411,永赢中证沪深港黄金产业股票ETF发起联接A,2026-01-29,2.9031,2.9031,2.75,20.43,47.56,53.81,100.2,154.55,,,47.13,190.31,144.987,0.1,0,2026-01-30 11:46:42
57208,16,020412,永赢中证沪深港黄金产业股票ETF发起联接C,2026-01-29,2.8858,2.8858,2.75,20.42,47.52,53.69,99.89,153.76,,,47.1,188.58,144.27,0.0,0,2026-01-30 11:46:42
57209,17,018957,中航机遇领航混合发起C,2026-01-29,3.484,3.484,-2.05,-1.0,-4.94,6.58,69.35,153.22,333.28,,-2.02,248.4,174.007,0.0,0,2026-01-30 11:46:42
57210,18,011369,华商均衡成长混合A,2026-01-29,2.0979,2.0979,-2.02,1.44,3.74,13.78,76.29,152.91,206.93,123.11,6.53,109.79,150.975,0.15,0,2026-01-30 11:46:42
57211,19,021873,中欧中证沪深港黄金产业股票指数发起A,2026-01-29,2.4039,2.4039,2.57,19.85,46.35,52.64,99.64,151.59,,,45.93,140.39,141.963,0.1,0,2026-01-30 11:46:42
57212,20,011370,华商均衡成长混合C,2026-01-29,2.0384,2.0384,-2.01,1.43,3.69,13.62,75.78,151.41,203.33,119.11,6.48,103.84,149.529,0.0,0,2026-01-30 11:46:42
57213,21,021874,中欧中证沪深港黄金产业股票指数发起C,2026-01-29,2.3983,2.3983,2.57,19.84,46.34,52.56,99.54,151.21,,,45.92,139.83,141.521,0.0,0,2026-01-30 11:46:42
57214,22,022083,华安中证有色金属矿业主题指数发起式A,2026-01-29,2.4828,2.4828,1.79,14.46,33.73,42.09,99.29,150.03,,,31.16,148.28,146.407,0.1,0,2026-01-30 11:46:42
57215,23,022084,华安中证有色金属矿业主题指数发起式C,2026-01-29,2.4748,2.4748,1.79,14.46,33.71,42.0,99.05,149.45,,,31.14,147.48,145.833,0.0,0,2026-01-30 11:46:42
57216,24,021074,华夏中证沪深港黄金产业股票ETF发起式联接A,2026-01-29,2.2307,2.2307,2.52,19.12,45.02,51.1,96.76,149.27,,,44.58,123.07,139.963,0.12,0,2026-01-30 11:46:42
57217,25,018132,博时中证有色金属矿业主题指数A,2026-01-29,2.2947,2.2947,1.68,14.54,34.82,43.1,99.61,148.91,182.32,,31.37,129.47,145.213,0.1,0,2026-01-30 11:46:42
57218,26,021075,华夏中证沪深港黄金产业股票ETF发起式联接C,2026-01-29,2.2233,2.2233,2.52,19.12,44.99,51.03,96.56,148.77,,,44.55,122.33,139.477,0.0,0,2026-01-30 11:46:42
57219,27,018133,博时中证有色金属矿业主题指数C,2026-01-29,2.2757,2.2757,1.68,14.54,34.79,43.0,99.33,148.17,180.6,,31.34,127.57,144.489,0.0,0,2026-01-30 11:46:42
57220,28,018167,国泰有色矿业ETF联接A,2026-01-29,2.4133,2.4133,1.79,14.95,35.59,44.19,98.56,147.62,185.29,,32.4,141.33,144.039,0.1,0,2026-01-30 11:46:42
57221,29,018168,国泰有色矿业ETF联接C,2026-01-29,2.4017,2.4017,1.78,14.94,35.56,44.12,98.36,147.11,184.19,,32.38,140.17,143.58,0.0,0,2026-01-30 11:46:42
57222,30,017234,永赢睿恒混合A,2026-01-29,2.4712,2.4712,-3.06,-0.42,10.7,13.84,77.67,144.46,,,12.74,147.12,,1.5,0,2026-01-30 11:46:42
57223,31,001753,红土创新新兴产业混合A,2026-01-29,2.903,2.903,-2.78,0.0,3.53,5.45,73.0,144.15,239.93,91.11,6.14,190.3,159.893,0.15,0,2026-01-30 11:46:42
57224,32,022368,永赢睿恒混合C,2026-01-29,2.4552,2.4552,-3.06,-0.43,10.64,13.67,77.18,143.07,,,12.69,145.52,,0.0,0,2026-01-30 11:46:42
57225,33,165520,中信保诚中证800有色指数(LOF)A,2026-01-29,3.7893,2.9423,1.75,14.61,35.19,41.47,97.89,143.0,187.44,124.36,31.55,312.93,140.453,0.12,0,2026-01-30 11:46:42
57226,34,018489,万家中证工业有色金属主题ETF发起式联接A,2026-01-29,2.179,2.179,2.06,15.6,36.32,42.29,98.18,142.46,162.69,,32.21,117.9,142.354,0.1,0,2026-01-30 11:46:42
57227,35,013081,中信保诚中证800有色指数(LOF)C,2026-01-29,3.7238,3.7238,1.75,14.6,35.15,41.33,97.5,142.04,185.15,121.68,31.51,82.23,139.519,0.0,0,2026-01-30 11:46:42
57228,36,018490,万家中证工业有色金属主题ETF发起式联接C,2026-01-29,2.1677,2.1677,2.06,15.6,36.31,42.22,97.98,141.98,161.67,,32.2,116.77,141.904,0.0,0,2026-01-30 11:46:42
57229,37,004432,南方有色金属ETF联接A,2026-01-29,2.5089,2.5239,1.84,14.51,34.22,42.23,95.02,141.68,179.58,108.43,30.85,153.33,139.009,0.12,0,2026-01-30 11:46:42
57230,38,017192,天弘工业有色金属指数A,2026-01-29,2.3343,2.3343,1.98,15.85,35.57,42.27,99.5,141.5,175.5,,31.43,133.43,141.421,0.1,0,2026-01-30 11:46:42
57231,39,010990,南方有色金属ETF联接E,2026-01-29,2.4702,2.4852,1.84,14.5,34.21,42.19,94.92,141.42,178.72,106.95,30.84,157.52,138.781,0.0,0,2026-01-30 11:46:42
57232,40,017193,天弘工业有色金属指数C,2026-01-29,2.3191,2.3191,1.98,15.85,35.54,42.19,99.27,140.92,174.16,,31.41,131.91,140.87,0.0,0,2026-01-30 11:46:42
57233,41,004433,南方有色金属ETF联接C,2026-01-29,2.4256,2.4406,1.84,14.5,34.18,42.08,94.62,140.71,177.36,105.93,30.81,144.99,138.088,0.0,0,2026-01-30 11:46:42
57234,42,016707,华夏有色金属ETF联接A,2026-01-29,2.3961,2.3961,1.71,15.0,34.33,42.05,97.02,140.28,183.7,116.53,31.39,139.61,137.85,0.12,0,2026-01-30 11:46:42
