id,report_period,area,serial_number,total_turnover,market_share,stock_turnover,fund_turnover,bond_turnover,preferred_stock_turnover,option_turnover,update_time
1,202512,上海,1,11973200000000.0,16.719,7411020000000.0,1450630000000.0,3087670000000.0,2432220000.0,21432800000.0,2026-02-02 02:21:59
2,202512,深圳,2,10543100000000.0,14.722,6055350000000.0,1498250000000.0,2979930000000.0,145516000.0,9378330000.0,2026-02-02 02:21:59
3,202512,北京,3,7929980000000.0,11.073,5272920000000.0,961918000000.0,1689010000000.0,174615000.0,5960690000.0,2026-02-02 02:21:59
4,202512,浙江,4,6062790000000.0,8.466,4973590000000.0,174539000000.0,912602000000.0,0.0,2054500000.0,2026-02-02 02:22:00
5,202512,江苏,5,5176960000000.0,7.229,3571360000000.0,425385000000.0,1176790000000.0,0.0,3432640000.0,2026-02-02 02:22:00
6,202512,广州,6,2995860000000.0,4.183,1833160000000.0,186455000000.0,971197000000.0,29098600.0,5019840000.0,2026-02-02 02:22:00
7,202512,福建,7,2714140000000.0,3.79,1782500000000.0,234693000000.0,695375000000.0,0.0,1573350000.0,2026-02-02 02:22:01
8,202512,广东,8,2477260000000.0,3.459,2048890000000.0,93672200000.0,333558000000.0,0.0,1138360000.0,2026-02-02 02:22:01
9,202512,境外地区,9,2359570000000.0,3.295,2336420000000.0,23151000000.0,0.0,0.0,0.0,2026-02-02 02:22:02
10,202512,西藏,10,2358110000000.0,3.293,1997610000000.0,93838200000.0,266202000000.0,0.0,455402000.0,2026-02-02 02:22:02
11,202512,四川,11,2129140000000.0,2.973,1605880000000.0,80840100000.0,441774000000.0,0.0,645593000.0,2026-02-02 02:22:02
12,202512,山东,12,1936170000000.0,2.704,1475350000000.0,64933700000.0,391726000000.0,0.0,4158410000.0,2026-02-02 02:22:03
13,202512,湖北,13,1802970000000.0,2.518,1253530000000.0,62511100000.0,486492000000.0,0.0,440510000.0,2026-02-02 02:22:03
14,202512,湖南,14,1362940000000.0,1.903,998740000000.0,171532000000.0,192014000000.0,0.0,652421000.0,2026-02-02 02:22:03
15,202512,安徽,15,982682000000.0,1.372,798784000000.0,23115800000.0,160617000000.0,0.0,164324000.0,2026-02-02 02:22:04
16,202512,河南,16,982364000000.0,1.372,804168000000.0,22530000000.0,155340000000.0,0.0,326537000.0,2026-02-02 02:22:04
17,202512,陕西,17,964657000000.0,1.347,686156000000.0,30838900000.0,247455000000.0,0.0,206544000.0,2026-02-02 02:22:04
18,202512,江西,18,915703000000.0,1.279,693798000000.0,16962800000.0,204761000000.0,0.0,180674000.0,2026-02-02 02:22:05
19,202512,重庆,19,778290000000.0,1.087,599597000000.0,24781500000.0,153668000000.0,0.0,244533000.0,2026-02-02 02:22:05
20,202512,辽宁,20,758709000000.0,1.059,607544000000.0,14235300000.0,136581000000.0,0.0,348753000.0,2026-02-02 02:22:06
21,202512,河北,21,636329000000.0,0.889,487337000000.0,18860500000.0,129870000000.0,0.0,260835000.0,2026-02-02 02:22:06
22,202512,山西,22,510525000000.0,0.713,374179000000.0,45547300000.0,90733400000.0,0.0,64734600.0,2026-02-02 02:22:06
23,202512,广西,23,477691000000.0,0.667,366418000000.0,10507400000.0,100507000000.0,0.0,258578000.0,2026-02-02 02:22:07
24,202512,天津,24,461267000000.0,0.644,339260000000.0,17983700000.0,103837000000.0,0.0,186093000.0,2026-02-02 02:22:07
25,202512,吉林,25,370688000000.0,0.518,222740000000.0,17838400000.0,130029000000.0,0.0,80110900.0,2026-02-02 02:22:07
26,202512,黑龙江,26,331710000000.0,0.463,252651000000.0,8452250000.0,70486100000.0,0.0,120142000.0,2026-02-02 02:22:08
27,202512,贵州,27,308840000000.0,0.431,177789000000.0,7025710000.0,123960000000.0,0.0,65181200.0,2026-02-02 02:22:08
28,202512,云南,28,295427000000.0,0.413,248180000000.0,6051210000.0,41096600000.0,0.0,99529300.0,2026-02-02 02:22:08
29,202512,海南,29,247843000000.0,0.346,209245000000.0,4688320000.0,33852900000.0,0.0,57256500.0,2026-02-02 02:22:09
30,202512,新疆,30,218897000000.0,0.306,179060000000.0,3965170000.0,35773200000.0,0.0,99085600.0,2026-02-02 02:22:09
31,202512,内蒙古,31,186721000000.0,0.261,140925000000.0,3694640000.0,41943400000.0,0.0,158304000.0,2026-02-02 02:22:09
32,202512,甘肃,32,184666000000.0,0.258,153592000000.0,3524550000.0,27492100000.0,0.0,57331300.0,2026-02-02 02:22:10
33,202512,宁夏,33,113815000000.0,0.159,98443700000.0,3675890000.0,11663700000.0,0.0,31747900.0,2026-02-02 02:22:10
34,202512,青海,34,64036000000.0,0.089,47039500000.0,1732610000.0,15260700000.0,0.0,3122150.0,2026-02-02 02:22:10
35,202601,上海,1,14711600000000.0,16.243,9941800000000.0,1752850000000.0,2998570000000.0,0.0,18407900000.0,2026-02-04 07:01:33
36,202601,深圳,2,12410200000000.0,13.702,8087980000000.0,1669670000000.0,2641480000000.0,0.0,11125300000.0,2026-02-04 07:01:34
37,202601,北京,3,9790390000000.0,10.809,6939030000000.0,1263830000000.0,1581130000000.0,104341000.0,6288640000.0,2026-02-04 07:01:36
38,202601,浙江,4,7754160000000.0,8.561,6711400000000.0,249801000000.0,791109000000.0,0.0,1853900000.0,2026-02-04 07:01:36
39,202601,江苏,5,6589420000000.0,7.275,4933670000000.0,478830000000.0,1172750000000.0,0.0,4174970000.0,2026-02-04 07:01:37
40,202601,境外地区,6,3929640000000.0,4.339,3893560000000.0,36073700000.0,0.0,0.0,0.0,2026-02-04 07:01:39
41,202601,广州,7,3786560000000.0,4.181,2569880000000.0,335276000000.0,876499000000.0,0.0,4899510000.0,2026-02-04 07:01:41
42,202601,广东,8,3341110000000.0,3.689,2891640000000.0,120278000000.0,328064000000.0,0.0,1126920000.0,2026-02-04 07:01:42
43,202601,福建,9,3317750000000.0,3.663,2434460000000.0,256726000000.0,624880000000.0,0.0,1681140000.0,2026-02-04 07:01:43
44,202601,西藏,10,2973060000000.0,3.282,2576090000000.0,142808000000.0,253742000000.0,0.0,422417000.0,2026-02-04 07:01:44
45,202601,四川,11,2740570000000.0,3.026,2180140000000.0,148662000000.0,411165000000.0,0.0,600909000.0,2026-02-04 07:01:46
46,202601,山东,12,2508320000000.0,2.769,2047470000000.0,95843200000.0,360345000000.0,0.0,4658580000.0,2026-02-04 07:01:47
47,202601,湖北,13,2365110000000.0,2.611,1779530000000.0,81966000000.0,503116000000.0,0.0,501191000.0,2026-02-04 07:01:48
48,202601,湖南,14,1733040000000.0,1.913,1378380000000.0,180488000000.0,173595000000.0,0.0,580475000.0,2026-02-04 07:01:49
