id,trade_date,security_type,quantity,turnover_amount,total_mv,circulating_mv,update_time
1,2026-01-30,股票,2920,1566250000000.0,46261400000000.0,39709800000000.0,2026-02-02 02:21:52
2,2026-01-30,主板A股,1490,834975000000.0,27401300000000.0,24426100000000.0,2026-02-02 02:21:52
3,2026-01-30,主板B股,38,99475600.0,43297200000.0,43278500000.0,2026-02-02 02:21:53
4,2026-01-30,创业板A股,1392,731177000000.0,18816800000000.0,15240500000000.0,2026-02-02 02:21:53
5,2026-01-30,基金,909,193199000000.0,1883440000000.0,1853710000000.0,2026-02-02 02:21:53
6,2026-01-30,ETF,598,184094000000.0,1751480000000.0,1751480000000.0,2026-02-02 02:21:54
7,2026-01-30,LOF,285,8867640000.0,57268400000.0,57268400000.0,2026-02-02 02:21:54
8,2026-01-30,封闭式基金,0,0.0,0.0,0.0,2026-02-02 02:21:55
9,2026-01-30,不动产基金,26,236867000.0,74694300000.0,44965000000.0,2026-02-02 02:21:55
10,2026-01-30,债券,17457,354491000000.0,,,2026-02-02 02:21:55
11,2026-01-30,债券现券,16665,56113900000.0,98278900000000.0,3342260000000.0,2026-02-02 02:21:56
12,2026-01-30,债券回购,27,296746000000.0,,,2026-02-02 02:21:56
13,2026-01-30,ABS,765,1631660000.0,495290000000.0,495290000000.0,2026-02-02 02:21:56
14,2026-01-30,期权,604,1381500000.0,,,2026-02-02 02:21:56
15,2026-02-03,股票,2921,1434270000000.0,46153400000000.0,39613300000000.0,2026-02-04 07:00:33
16,2026-02-03,主板A股,1491,751980000000.0,27268600000000.0,24309000000000.0,2026-02-04 07:00:37
17,2026-02-03,主板B股,38,48960700.0,42641200000.0,42622800000.0,2026-02-04 07:00:40
18,2026-02-03,创业板A股,1392,682244000000.0,18842200000000.0,15261700000000.0,2026-02-04 07:00:41
19,2026-02-03,基金,911,179628000000.0,1852490000000.0,1823070000000.0,2026-02-04 07:00:42
20,2026-02-03,ETF,600,174953000000.0,1723780000000.0,1723780000000.0,2026-02-04 07:00:47
21,2026-02-03,LOF,285,4415320000.0,54722600000.0,54722600000.0,2026-02-04 07:00:53
22,2026-02-03,封闭式基金,0,0.0,0.0,0.0,2026-02-04 07:00:59
23,2026-02-03,不动产基金,26,259608000.0,73993700000.0,44570800000.0,2026-02-04 07:01:02
24,2026-02-03,债券,17492,363691000000.0,,,2026-02-04 07:01:05
25,2026-02-03,债券现券,16697,60873900000.0,98415600000000.0,3353700000000.0,2026-02-04 07:01:09
26,2026-02-03,债券回购,27,301783000000.0,,,2026-02-04 07:01:10
27,2026-02-03,ABS,768,1033680000.0,497016000000.0,497016000000.0,2026-02-04 07:01:13
28,2026-02-03,期权,614,1303860000.0,,,2026-02-04 07:01:14
29,2026-02-06,股票,2921,1248050000000.0,45687200000000.0,39230000000000.0,2026-02-08 08:30:00
30,2026-02-06,主板A股,1491,680784000000.0,27164500000000.0,24225300000000.0,2026-02-08 08:30:00
31,2026-02-06,主板B股,38,78930400.0,43042100000.0,43023700000.0,2026-02-08 08:30:00
32,2026-02-06,创业板A股,1392,567190000000.0,18479700000000.0,14961600000000.0,2026-02-08 08:30:00
33,2026-02-06,基金,912,159723000000.0,1828540000000.0,1799180000000.0,2026-02-08 08:30:00
34,2026-02-06,ETF,601,155443000000.0,1704580000000.0,1704580000000.0,2026-02-08 08:30:00
35,2026-02-06,LOF,285,4122240000.0,50060100000.0,50060100000.0,2026-02-08 08:30:00
36,2026-02-06,封闭式基金,0,0.0,0.0,0.0,2026-02-08 08:30:00
37,2026-02-06,不动产基金,26,157384000.0,73908200000.0,44548100000.0,2026-02-08 08:30:00
38,2026-02-06,债券,17541,346964000000.0,,,2026-02-08 08:30:00
39,2026-02-06,债券现券,16738,56611300000.0,98523200000000.0,3364390000000.0,2026-02-08 08:30:00
40,2026-02-06,债券回购,27,289858000000.0,,,2026-02-08 08:30:00
41,2026-02-06,ABS,776,494661000.0,498426000000.0,498426000000.0,2026-02-08 08:30:00
42,2026-02-06,期权,616,1063030000.0,,,2026-02-08 08:30:00
